model,accuracy,precision_high_value,recall_high_value,f1_high_value,precision_weighted,recall_weighted,f1_weighted
logistic_regression,1.0,1.0,1.0,1.0,1.0,1.0,1.0
random_forest,0.9982,0.6667,0.6667,0.6667,0.9982,0.9982,0.9982
